colname,label,type,primary_display,tooltip
taxon_name,Taxon name,,Y,
taxon_id,Taxon ID,,,
broad_categories,Broad categories,,,
reads,Reads,int,Y,
pc_reads,% Reads,float,Y,
cov_filter,Low coverage,bool,Y,% quality filtered reads matching to viral taxa < 0.001
term_filter,Terms to exclude,bool,Y,
full_lineage,Full lineage,,Y,
full_lineage_ranks,,,,
acellular root,Entity,,Y,
domain,Domain,,Y,
kingdom,Kingdom,,Y,
species,Species,,Y,
